板块,平均价格（元/月）
汉溪长隆,6298.781578947369
江南大道中,3457.7789046653143
江南西,4529.107142857143
江夏,5701.860045146727
江浦街,2144.685990338164
江燕路,4239.7
江高镇,2798.9772727272725
汾水,2559.733870967742
沙园,3136.4666666666667
沙太北,9275.056818181818
沙太南,4089.6713947990543
沙村,2454.4630738522956
沙河,3381.8354430379745
沙湾,2833.6525974025976
沙面,20199.0
沥滘,5422.058252427184
河滨北路,1546.8292682926829
洛溪,4516.696016771489
洪德,4475.93125
派潭镇,1746.8
流花站前,3037.14
海珠,2643.8333333333335
海珠广场,10098.360655737704
淘金,7241.591168091168
温泉镇,2614.206611570248
滘口,3554.8614864864867
滨江东,7085.429264349232
滨江中,4699.792682926829
滨江西,4123.514563106796
炭步,2001.0
燕塘,3948.193661971831
狮岭镇,3105.8870523415976
环市东,4742.891008174387
珠江新城东,13143.046715328468
珠江新城中,12962.812
珠江新城西,8449.442045454545
琶洲中,4305.825
番禺,2049.2
番禺客运站,3724.7445255474454
番禺广场,2977.7625
白云,1459.0
白云大道南,8291.829545454546
白江,2330.6729622266403
盘福,3529.9274611398964
知识城,2447.349393019727
石井,3033.6062801932367
石楼,3409.4536585365854
石滩镇,1382.8401937046006
石牌,4811.508348794063
石碁,2460.714285714286
磨碟沙,5580.520618556701
祈福新村,3823.574193548387
神岗镇,1808.9879032258063
福和镇,1395.05
秀全街,2506.7021276595747
科学城,4255.322995126274
粤垦,4227.402611534277
罗冲围,3154.117142857143
花东镇,2137.9376443418014
花地湾,2802.090909090909
花城街,2300.3551967709386
花山镇,2092.1296296296296
芳村,3163.500938086304
茶滘,3672.093023255814
荔城中区,1953.6893617021276
荔城增江,2145.28
荔城富鹏,3412.8947368421054
荔城西区,2024.4420803782507
荔湾,2145.5
莲花山,3867.786941580756
菊树,2650.0
西关,7091.857534246576
西华路,3152.217125382263
西场,2717.0454545454545
西朗,6122.114285714286
西村,3434.822134387352
西门口,4270.685520361991
解放北,3825.4430379746836
解放南,3308.997461928934
赤坭镇,10000.0
赤岗,4330.5894245723175
赤草,2333.75
越秀,2021.0
越秀南,3969.7785547785547
车陂,4165.270758122743
进港大道,2306.9896128423043
金山谷,4607.325757575758
金沙洲,4144.412811387901
金洲,2323.2053544265286
金碧,4063.44128113879
金融城,5781.7535211267605
钟村,3043.243315508021
钟落潭,2741.6666666666665
铁路西,2278.1997439180536
镜湖大道,2637.790556900726
长兴,3837.0
长岭居,3689.346846846847
长洲岛,2333.3333333333335
陈家祠,6538.695652173913
雅居乐,7501.310061601643
顺德碧桂园,3080.4853801169593
香雪,3279.2314049586776
马务,3357.6521739130435
高唐,5000.0
鱼珠,7868.594470046083
鱼窝头,3222.222222222222
鳌头镇,1607.4285714285713
鹤洞,3110.685950413223
麓景,3584.5806451612902
黄埔,1662.8666666666666
黄埔区府,3090.056466302368
黄埔村,23165.714285714286
黄埔永和,2336.476331360947
黄村,6263.122962962963
黄沙,10370.50655021834
黄石,3840.6915113871637
黄花岗,4214.874617737003
黄边,4015.469827586207
黄阁,2618.7045889101337
龙口东,4831.120805369127
龙口西,5718.684210526316
龙归,2737.9310344827586
龙洞,5338.081967213115
龙津,3563.6978998384493
龙溪,3892.8611111111113
